w Re(f(w)) Im(f(w))
2000 -1.24066817870781E-05 -9.38932233809065E-07
2496.24060150376 7.22749988158801E-08 -1.08549725728023E-05
2992.48120300752 -4.52982494642051E-05 -4.20268824837078E-06
3488.72180451128 -5.01524549192669E-06 1.31461925920618E-05
3984.96240601504 1.50758456319963E-05 2.72051321445451E-05
4481.2030075188 -1.30504242144232E-05 1.14708509488447E-05
4977.44360902256 3.3666114991709E-05 2.27653470012552E-05
5473.68421052631 2.13838535234873E-05 -2.54835105917643E-05
5969.92481203008 2.45598468562398E-05 -1.8564412945083E-05
6466.16541353384 -1.65320727714082E-05 8.11458873993189E-06
6962.40601503759 -4.21717503691585E-05 7.24857587727302E-06
7458.64661654135 -2.04762048773374E-05 1.29935911203152E-05
7954.88721804511 -8.61649387912539E-06 1.84880560786692E-05
8451.12781954887 2.73215075477918E-05 -3.03588988784557E-06
8947.36842105263 5.28558542371379E-05 3.91144241099864E-05
9443.60902255639 4.30433557859329E-06 3.7633831335292E-05
9939.84962406015 2.55256885800428E-06 1.36860356252522E-05
10436.0902255639 -2.85145937169986E-05 1.1769014736509E-05
10932.3308270677 -3.31927437984354E-06 -1.74782439598387E-05
11428.5714285714 -1.51424162402645E-06 3.21541962105832E-05
11924.8120300752 -3.3659247954598E-05 -2.01969486905974E-05
12421.0526315789 7.80056920803195E-06 -3.93283852212664E-05
12917.2932330827 -2.08756118681344E-06 -1.85018129065208E-05
13413.5338345865 -1.91803365052961E-05 4.88026458449608E-05
13909.7744360902 -8.11388667314128E-05 2.81626451578947E-05
14406.015037594 1.14054365608711E-06 -3.62350800687437E-06
14902.2556390977 5.14131838431117E-06 9.917487826111E-06
15398.4962406015 3.88905221779285E-05 -3.74242273379962E-07
15894.7368421053 8.90657893511412E-07 2.12679678945763E-05
16390.977443609 2.73870438258337E-05 7.68283794775471E-06
16887.2180451128 -1.82053177967607E-06 1.96907872052237E-05
17383.4586466165 4.03359347792087E-05 -5.94274635996485E-06
17879.6992481203 -5.54826509847662E-06 2.14360872529448E-05
18375.9398496241 1.63449387800332E-05 -1.76105034060845E-05
18872.1804511278 -6.13024344371043E-06 1.37377004131594E-05
19368.4210526316 -2.06028895710856E-06 6.21100966253714E-07
19864.6616541353 -2.2458282287193E-05 -9.98588099053751E-06
20360.9022556391 1.95411559246223E-05 -1.6967278295556E-07
20857.1428571429 -2.55263711774952E-05 -1.17639719159671E-05
21353.3834586466 3.72746855370518E-05 -1.42936163879656E-05
21849.6240601504 -1.06104602569447E-05 5.52780324553366E-06
22345.8646616541 1.74828055104904E-05 7.47473741838572E-06
22842.1052631579 -8.90532789140395E-06 1.99360130867212E-06
23338.3458646617 2.32443296018497E-06 1.05290575175584E-05
23834.5864661654 -7.76490220305855E-06 -2.22458937914876E-05
24330.8270676692 -1.03588440787262E-06 1.15603962648563E-05
24827.0676691729 -7.00531229126915E-06 -2.42201871638979E-05
25323.3082706767 1.65627629892394E-05 1.05259669581272E-05
25819.5488721805 3.35553909187438E-07 5.9644991828373E-06
26315.7894736842 -1.50874924757642E-05 -7.30780081635813E-06
26812.030075188 1.68657663284794E-05 -1.46750434027445E-07
