w Re(f(w)) Im(f(w))
2000 2.77663552315176E-05 5.53221201853498E-06
2496.24060150376 -3.33167387879883E-05 7.4338573334303E-06
2992.48120300752 -1.80329379013413E-05 1.04534200236412E-05
3488.72180451128 3.21467675623922E-05 3.70700836764985E-06
3984.96240601504 2.60007803856602E-05 2.07490981356778E-05
4481.2030075188 -4.51898895361335E-05 1.13347655162028E-05
4977.44360902256 -8.49856626120561E-06 5.47233719027758E-05
5473.68421052631 -1.26019493092842E-05 2.47444947534471E-05
5969.92481203008 1.57572649255801E-05 -1.48318791995368E-05
6466.16541353384 3.01335971071622E-05 4.66026911692231E-05
6962.40601503759 -4.84663833930937E-05 3.75675417135631E-05
7458.64661654135 -1.12998381021797E-05 1.83228274014627E-05
7954.88721804511 1.63386559378148E-05 2.76063600670175E-05
8451.12781954887 4.36652026559211E-05 2.78339844454484E-05
8947.36842105263 -8.09646030213978E-07 -3.25274582422293E-06
9443.60902255639 2.19442588239821E-05 -8.5107328702917E-06
9939.84962406015 -3.20380492570703E-05 2.28881082143555E-06
10436.0902255639 4.56549734970995E-05 1.42255909960364E-05
10932.3308270677 1.04476839358895E-05 4.34206661840482E-05
11428.5714285714 6.87857322938157E-05 1.12905637566901E-05
11924.8120300752 -1.23134875567291E-05 3.36752843052369E-05
12421.0526315789 -2.92944797786942E-05 -1.59735115349358E-05
12917.2932330827 -1.07071106945166E-05 3.12684438203134E-06
13413.5338345865 2.45277198962988E-05 8.0963498187203E-05
13909.7744360902 3.49599084570857E-05 6.29187060505919E-05
14406.015037594 1.74866496386173E-05 7.92025601506102E-05
14902.2556390977 2.30845672571293E-05 -6.45555216489518E-06
15398.4962406015 -4.02503926197845E-06 5.49244068159249E-05
15894.7368421053 -1.00478979821834E-05 1.24804846610284E-05
16390.977443609 -2.56805507895352E-05 8.45484404738062E-06
16887.2180451128 1.87047059145568E-05 -1.98931196779697E-05
17383.4586466165 -8.58334069931517E-06 2.65462934168014E-06
17879.6992481203 -1.62049246983125E-05 -2.41322892454596E-05
18375.9398496241 3.15049919704786E-05 -8.94359982728537E-06
18872.1804511278 -2.18152585047146E-05 -3.29312718168863E-06
19368.4210526316 1.76204651601884E-05 1.41545157186588E-05
19864.6616541353 -3.55323489504056E-05 -7.46898167840701E-06
20360.9022556391 9.83870348932144E-06 3.6326561136635E-06
20857.1428571429 1.62683334094042E-05 -4.23159740383197E-05
21353.3834586466 2.34518620050429E-05 -2.28190009811282E-06
21849.6240601504 1.43236848196609E-05 -9.44787748417742E-07
22345.8646616541 -7.98055898603821E-06 2.92164835297638E-06
22842.1052631579 -2.36694924737115E-06 1.32264279815129E-05
23338.3458646617 3.3771217161981E-06 -1.60894882262949E-05
23834.5864661654 4.79636853458548E-06 -4.9706520425768E-06
24330.8270676692 -2.38688883498207E-06 4.40627950179149E-06
24827.0676691729 1.61770076047508E-05 -6.15729443343271E-06
25323.3082706767 -3.44471919031549E-05 1.26439664844654E-05
25819.5488721805 3.29230919764843E-05 -3.91640844112291E-06
26315.7894736842 -5.31005505916775E-05 3.06443633436485E-06
26812.030075188 2.95331108644371E-05 1.01271762032523E-05
27308.2706766917 -1.30619454703657E-05 -9.74162883764813E-06
27804.5112781955 4.00104243341857E-07 1.36083722194254E-05
28300.7518796993 -4.162282058957E-07 -6.06230854127474E-06
28796.992481203 -2.83580323427838E-06 -7.25329104952396E-06
29293.2330827068 -3.26555078833808E-06 1.9060834318179E-06
29789.4736842105 2.67285602980027E-05 1.73998646321912E-05
30285.7142857143 -4.34129577371376E-05 -5.15347423694938E-05
30781.954887218 5.03944921100963E-05 4.05363425759317E-05
31278.1954887218 -2.05651010532008E-05 -3.99504200788432E-05
31774.4360902256 -1.33670766376079E-05 3.39249602395244E-05
32270.6766917293 8.35843107363067E-06 -1.22955672932078E-05
32766.9172932331 -1.60604427186042E-05 -1.25553426690345E-05
33263.1578947368 1.38941949222701E-05 2.59132574242007E-05
33759.3984962406 1.71877293663384E-05 -2.0432215492926E-05
34255.6390977444 -2.81717590345618E-05 1.27909875456556E-05
34751.8796992481 1.25382022734222E-05 1.67335635814748E-05
35248.1203007519 5.37107582642247E-06 -2.92267066555772E-05
35744.3609022556 -2.89846673777979E-05 2.42592957489949E-05
36240.6015037594 1.4254469003024E-05 -2.74804384233963E-06
36736.8421052632 -1.58451693640849E-05 -2.27994559322033E-05
37233.0827067669 -6.40752527762165E-06 2.98239467371004E-05
37729.3233082707 1.65908307220213E-05 -9.01878512591554E-06
38225.5639097744 -2.04949366966376E-05 -7.03799118390889E-06
38721.8045112782 7.23096159203359E-07 1.42181449822225E-05
39218.045112782 1.3884909921542E-05 -5.87341872409387E-06
39714.2857142857 -1.59077007086853E-05 -9.9006165516521E-06
40210.5263157895 4.9541511256484E-08 2.87306604229225E-05
40706.7669172932 2.99696707635352E-05 -3.92542857627109E-05
41203.007518797 -4.15600892289323E-05 1.86238580795363E-05
41699.2481203007 3.88993880071495E-05 6.43285536961757E-06
42195.4887218045 -2.1375205284548E-05 -2.64399253592465E-05
42691.7293233083 9.5511056470091E-07 1.74681986101024E-05
43187.969924812 1.35282897538253E-05 -3.38988578848369E-06
43684.2105263158 -7.19693866229493E-06 -1.10209795174224E-05
44180.4511278196 -2.83701595449843E-06 4.5956318028526E-06
44676.6917293233 2.34364434208643E-05 6.40918204347445E-07
45172.9323308271 -5.22941766208586E-06 -1.60577480607506E-05
45669.1729323308 -1.87671821799573E-05 2.21306127244351E-05
46165.4135338346 3.21008636730806E-05 2.12810637207749E-06
46661.6541353383 -3.8623655926909E-05 -1.94947271239263E-05
47157.8947368421 1.39540113793953E-05 2.73720389557476E-05
47654.1353383459 1.21246694327816E-05 -2.52733400838238E-05
48150.3759398496 -2.93216060363971E-05 8.15412853562487E-06
48646.6165413534 1.97531323741193E-05 5.48769852656314E-06
49142.8571428571 2.115335198836E-06 -1.52528412844916E-05
49639.0977443609 -8.83224372411061E-06 5.46055095893792E-06
50135.3383458647 8.93065153280254E-06 -4.47739875773026E-07
50631.5789473684 2.31549267977665E-06 -3.32844812362292E-06
51127.8195488722 -8.53757759643146E-07 -4.9709898478133E-06
51624.0601503759 -2.08177761358668E-05 1.47622750195267E-05
52120.3007518797 3.51053323587898E-05 -2.23029082337911E-05
52616.5413533835 -3.4590064961649E-05 5.83435046466327E-06
53112.7819548872 2.5940410660609E-05 1.88868966445786E-05
53609.022556391 -7.91227266028184E-06 -2.53118282812267E-05
54105.2631578947 -5.54884095263745E-06 1.50373910424361E-05
54601.5037593985 5.7732950671351E-06 -3.32742458823346E-06
55097.7443609023 -1.13751486123808E-06 8.50339933541109E-07
55593.984962406 -2.08349880820893E-06 -1.508994401355E-05
56090.2255639098 -3.660552545288E-06 2.23255705008336E-05
56586.4661654135 1.14577330576604E-05 -1.94875336864317E-05
57082.7067669173 -1.40416432561701E-05 -4.203457416366E-07
57578.947368421 8.33722135308491E-06 2.28412160619315E-05
58075.1879699248 7.84543425460781E-06 -3.19513760177118E-05
58571.4285714286 -1.75004186219251E-05 1.99034066946668E-05
59067.6691729323 1.23343040196749E-05 5.25238134480241E-06
59563.9097744361 2.98807419203705E-06 -1.78841968154416E-05
60060.1503759398 -1.22366025100892E-05 1.03512012491591E-05
60556.3909774436 1.16215278874284E-05 7.46313581534622E-07
61052.6315789474 -1.9710028618535E-06 -6.15714597727395E-06
61548.8721804511 -7.13351586446021E-06 2.91109263905665E-06
62045.1127819549 5.76472479095106E-06 8.11400749381133E-06
62541.3533834586 7.6340577144384E-06 -7.28734151259484E-06
63037.5939849624 -1.57984732586863E-05 -2.06880917568228E-07
63533.8345864662 1.06140250722384E-05 1.44148743571624E-05
64030.0751879699 7.52974591682482E-06 -1.91727412136749E-05
64526.3157894737 -2.59806175153136E-05 8.19309321133716E-06
65022.5563909774 1.18578635808545E-05 7.85896748240384E-06
65518.7969924812 -5.77759578712705E-06 -1.3868500762139E-05
66015.0375939849 -4.26805694865902E-06 1.01838763354904E-05
66511.2781954887 1.38387100746344E-05 4.35471201873773E-06
67007.5187969925 -1.77972033331613E-05 -8.54233140458409E-06
67503.7593984962 -5.53760033439986E-06 2.53603253929367E-06
68000 -3.12339883171673E-07 5.74616871452233E-06
68496.2406015038 1.13126735870928E-06 -6.79646466826019E-06
68992.4812030075 -5.15699530524452E-06 -1.03863699236155E-06
69488.7218045113 1.5598200770341E-06 -2.34487714641802E-06
69984.962406015 6.97543467002654E-06 -7.18317134129495E-06
70481.2030075188 -9.8637241025515E-06 -2.81972635186345E-07
70977.4436090226 5.29707155559813E-06 5.42164354611106E-06
71473.6842105263 6.72540845692466E-07 -6.50283362291115E-06
71969.9248120301 -4.91787301213886E-06 5.43575022328009E-06
72466.1654135338 6.81888483998769E-06 1.06555349392217E-06
72962.4060150376 -4.21047317749368E-06 2.92567255524741E-06
73458.6466165413 2.03307589702575E-06 -1.18518618083371E-05
73954.8872180451 -4.77111597593693E-06 8.83365252559975E-06
74451.1278195489 7.1558938431455E-06 -5.04619395948307E-06
74947.3684210526 -2.76979614117397E-06 -3.94338194225067E-06
75443.6090225564 -3.16477040907167E-06 6.22249187474493E-06
75939.8496240601 6.72330662194469E-06 -3.22614973104563E-06
76436.0902255639 -5.7915226984195E-06 -2.44997911036186E-06
76932.3308270677 1.21959696541653E-06 6.53617147658089E-06
77428.5714285714 5.27031297242771E-06 -1.73507497415339E-06
77924.8120300752 -6.01803788044963E-06 -6.56092986478901E-06
78421.0526315789 1.77783814247398E-06 8.49530453270666E-06
78917.2932330827 3.97494295679365E-06 -4.36507674757036E-06
79413.5338345865 -3.115440059881E-06 -2.14391918049325E-06
79909.7744360902 -2.02613440828907E-06 6.60384936129277E-06
80406.015037594 3.06470641033551E-06 -1.91689709985765E-06
80902.2556390977 -1.46109475930538E-06 -2.40292686238921E-06
