w Re(f(w)) Im(f(w))
2000 -1.22158120176733E-05 1.18442255452198E-05
2496.24060150376 4.3277037444386E-05 3.83734488153732E-05
2992.48120300752 -3.32931645989853E-05 4.9760106655177E-06
3488.72180451128 -3.78000275296276E-05 1.21405916691546E-05
3984.96240601504 -9.80716600679211E-06 4.34655829080275E-05
4481.2030075188 1.12543327013996E-05 -5.3002748456737E-05
4977.44360902256 -3.80590881126595E-05 -2.50675322134659E-05
5473.68421052631 -2.50755877001584E-05 -1.84368092825764E-05
5969.92481203008 4.92629488619979E-06 2.72287972132827E-05
6466.16541353384 2.25377588155065E-05 6.63760042238179E-05
6962.40601503759 3.04227784211414E-05 1.5707140098709E-06
7458.64661654135 2.8991335810776E-05 8.39572749422307E-06
7954.88721804511 1.68074681143253E-06 1.92471401539621E-06
8451.12781954887 3.60237099076551E-05 2.04188410455209E-05
8947.36842105263 3.22319396639318E-05 -1.20205951339688E-05
9443.60902255639 4.43327974910873E-05 3.52438142899279E-06
9939.84962406015 -5.21674604669087E-05 -2.0057463398917E-05
10436.0902255639 5.03907684830799E-05 -4.60574938009238E-05
10932.3308270677 4.37957600550566E-05 -7.52412058753562E-07
11428.5714285714 8.17901588374825E-05 -4.7598195277947E-05
11924.8120300752 1.0027625875399E-05 -6.14455117343175E-07
12421.0526315789 -3.56696457255529E-05 -1.2600785623323E-05
12917.2932330827 -7.85708941467867E-06 -9.31010054692478E-07
13413.5338345865 4.08147572778438E-05 4.53147594063694E-05
13909.7744360902 5.10983546229776E-06 -1.87869068429977E-05
14406.015037594 7.62790868146943E-05 -1.73605173354659E-06
14902.2556390977 4.62054824183979E-06 9.38723149357074E-06
15398.4962406015 1.80578720451723E-05 1.46380831198718E-05
15894.7368421053 -1.35782738934066E-05 -1.57756044162432E-05
16390.977443609 -1.13192119394181E-06 1.35187601914533E-05
16887.2180451128 -3.6378192764026E-06 -2.05700515562432E-06
17383.4586466165 4.98663476896003E-05 3.77199953395514E-05
