w Re(f(w)) Im(f(w))
2000 3.16994806711404E-06 -2.68532043480844E-05
2496.24060150376 -7.02184016604939E-07 -4.56694521802544E-05
2992.48120300752 4.396252168555E-05 2.86945547804039E-05
3488.72180451128 1.5754488506243E-05 1.63276834126606E-05
3984.96240601504 5.10065195041653E-05 2.0472642736526E-06
4481.2030075188 3.98827718475771E-05 -7.12794931464275E-06
4977.44360902256 -3.9098203255099E-06 1.03558825564081E-05
5473.68421052631 1.50128193696185E-05 1.40895755801573E-05
5969.92481203008 -2.91162691719218E-05 1.4658941304117E-05
6466.16541353384 -7.51817810285771E-05 -5.12511581006979E-05
6962.40601503759 -3.34927083687823E-05 -7.62711973803831E-05
7458.64661654135 -1.52790057623308E-05 -3.12951012691735E-05
7954.88721804511 -1.41901778277921E-06 7.25245675767497E-06
8451.12781954887 -9.00964703679427E-06 4.72445226707961E-05
8947.36842105263 -3.76095838794952E-05 -2.37605511004063E-05
9443.60902255639 5.4135930628895E-05 -3.04010176885685E-05
9939.84962406015 5.02049941628084E-06 4.60402625244627E-05
10436.0902255639 -1.17343057566337E-05 -8.79810618393335E-06
10932.3308270677 1.48836634806839E-05 2.29045592779511E-05
11428.5714285714 2.87016989403283E-06 -2.66427970130148E-05
11924.8120300752 5.52137816422616E-05 8.57956506977293E-06
12421.0526315789 -6.75094859143806E-06 9.54980818458807E-06
12917.2932330827 5.94197604867463E-06 -8.64713591899074E-06
13413.5338345865 2.36266159750261E-05 -6.02978890523943E-05
13909.7744360902 0.000101674391639717 2.88341503413631E-06
14406.015037594 -1.34645209631388E-05 -2.45149545103307E-07
14902.2556390977 4.94629533748448E-05 -6.58581777936099E-06
15398.4962406015 -5.01554022261286E-05 3.30594005113384E-05
15894.7368421053 1.23193673415168E-05 -3.38180864720068E-05
16390.977443609 5.25631554754955E-06 -5.71006874467923E-06
16887.2180451128 2.63710351811472E-05 1.48123402756837E-06
17383.4586466165 -2.3170551114821E-05 -3.17883287740481E-05
17879.6992481203 7.68447961943569E-05 8.18901325346054E-06
18375.9398496241 -2.15789993087943E-05 2.38026705239239E-05
18872.1804511278 -4.58913755595794E-06 2.71487860991769E-06
19368.4210526316 -1.87644676559695E-05 -6.78635969230041E-05
19864.6616541353 5.54944750939213E-05 6.81970296200758E-05
20360.9022556391 -7.79731125361537E-05 -9.5019177649062E-06
20857.1428571429 3.32189122801424E-05 3.48909064470622E-06
21353.3834586466 -6.91619379236079E-06 -3.24887388487985E-05
21849.6240601504 1.41324724300043E-05 3.49481663617048E-05
22345.8646616541 -4.17561396689967E-07 -3.33741261600201E-05
22842.1052631579 2.88895691171088E-06 3.31082714131125E-05
23338.3458646617 2.18716338033385E-06 -3.10056768490413E-05
23834.5864661654 -5.84748114771571E-06 6.58786322037367E-06
24330.8270676692 4.70373977434666E-06 1.21565168176375E-05
24827.0676691729 -2.61666036865699E-05 -2.21543829770331E-05
25323.3082706767 1.60439600584976E-05 2.14882652467405E-05
25819.5488721805 -2.82155102090929E-06 -4.1626934527979E-05
26315.7894736842 1.084476785932E-06 6.73064639217334E-05
26812.030075188 -6.25892476951949E-06 -4.61539438669964E-05
27308.2706766917 -6.89861870441414E-06 3.49928119344231E-05
27804.5112781955 1.59768081877694E-05 -2.81006157638104E-05
28300.7518796993 -1.97230766670013E-05 1.37164484737971E-05
28796.992481203 9.50075382785818E-06 5.42042343260765E-06
29293.2330827068 -6.9214037841787E-06 -1.85269387262728E-05
29789.4736842105 5.91803157051814E-06 2.64919892982296E-05
30285.7142857143 3.12953638063893E-06 -2.37242702915477E-05
30781.954887218 -8.42775112301657E-06 2.10763831105214E-05
31278.1954887218 1.40030802850166E-05 1.02984567619448E-06
31774.4360902256 -2.10546850957323E-05 -1.88863662887509E-05
32270.6766917293 1.68258530040133E-05 2.42221736191852E-05
32766.9172932331 -1.96581251096282E-05 -4.32703986877836E-05
33263.1578947368 8.72434087774242E-06 4.31469145011518E-05
33759.3984962406 1.23379608304273E-05 -1.43293769424477E-05
34255.6390977444 -9.23933315482539E-06 -1.93409489493306E-06
