w Re(f(w)) Im(f(w))
2000 1.46857924035327E-05 4.3625303574081E-05
2496.24060150376 4.2170184422452E-05 2.8982970319955E-06
2992.48120300752 7.82467712252367E-05 -6.0496228280609E-06
3488.72180451128 1.19450930409582E-06 1.30373707641902E-05
3984.96240601504 4.41836234784273E-06 -2.67969380041744E-05
4481.2030075188 2.27104163331936E-05 -1.82105037881655E-06
4977.44360902256 -1.11890787130044E-05 1.88396420802802E-07
5473.68421052631 -7.19331509995026E-06 7.03052018159778E-06
5969.92481203008 -3.02569187991456E-05 -1.4905473902638E-05
6466.16541353384 7.06260014589675E-05 -1.66072114397999E-05
6962.40601503759 3.77449634560701E-05 8.35681494692892E-05
7458.64661654135 -2.2338339324422E-05 1.10334679914665E-05
7954.88721804511 6.87931279434914E-06 -3.73202613635302E-05
8451.12781954887 6.20133465371848E-05 2.48489456946102E-05
8947.36842105263 -7.11322491606794E-05 1.49927649710531E-05
9443.60902255639 4.94546103258439E-05 -7.01807364720608E-05
9939.84962406015 -1.19143906682635E-05 1.09430914697972E-05
10436.0902255639 1.97482331538172E-06 -4.23353424923531E-05
10932.3308270677 -1.68262154401941E-05 -4.65317031844474E-05
11428.5714285714 3.0618560616947E-05 6.27986288959799E-06
11924.8120300752 -3.11719465624583E-05 -1.22693351322606E-05
12421.0526315789 9.1816924260334E-06 3.04302933957277E-05
12917.2932330827 2.77418073101582E-07 2.59523519495645E-06
13413.5338345865 -2.53979948864607E-05 1.44429345984915E-05
13909.7744360902 3.73190879971068E-05 -2.32605564020299E-05
14406.015037594 -5.87278771594818E-05 -2.21196802909459E-05
14902.2556390977 3.41473188457209E-05 -1.66311419320968E-05
15398.4962406015 -7.22348938017009E-05 -3.27208688899392E-05
15894.7368421053 2.41274217187695E-05 -1.65514459047455E-05
16390.977443609 -1.42235526987456E-06 5.25991385642909E-06
16887.2180451128 -1.62366274522214E-05 6.15693678785802E-06
17383.4586466165 1.15535817019495E-05 4.999770201154E-05
17879.6992481203 -6.31893468648424E-05 -2.82776502689526E-05
18375.9398496241 9.39866811127461E-06 1.9660380645587E-05
18872.1804511278 2.99921651223278E-05 -1.97580812954366E-05
19368.4210526316 -5.56219436090565E-05 2.75490464949152E-05
19864.6616541353 4.24749236602769E-05 -2.6866887268187E-05
20360.9022556391 -4.07001020469874E-05 -5.21935603360588E-06
20857.1428571429 2.2512673425522E-05 3.05617894672837E-05
21353.3834586466 -5.58511029507122E-06 -7.30022795453146E-06
21849.6240601504 -1.84097690490466E-05 1.40872935203885E-05
22345.8646616541 1.88974922240842E-05 -3.02447116774164E-06
22842.1052631579 1.18576677355538E-07 -1.52561341606586E-05
23338.3458646617 -1.53740855518689E-05 2.95725386713992E-05
23834.5864661654 1.17863325699309E-05 -6.97619928796117E-06
24330.8270676692 -1.24434173717605E-05 -1.09036432750312E-05
24827.0676691729 -3.38560892899388E-06 2.65538839644782E-05
25323.3082706767 2.22040990838293E-05 -2.71319069843468E-05
25819.5488721805 -3.69964718456803E-05 5.57283315653262E-06
26315.7894736842 5.28273889065373E-05 1.4525845770235E-05
26812.030075188 -2.5435430022295E-05 -1.16480464044779E-05
27308.2706766917 -4.57066040495207E-06 1.32679835168863E-05
27804.5112781955 3.17726530707813E-05 -4.96030345123179E-06
28300.7518796993 -1.64763167989189E-05 1.93513188820518E-06
28796.992481203 -8.70515231203626E-06 2.72708483636492E-06
29293.2330827068 1.91876792600052E-05 -1.09046195423382E-05
29789.4736842105 -1.00714108597962E-05 -1.04558581453659E-05
30285.7142857143 -8.02416667205933E-06 3.15124917658192E-05
30781.954887218 1.99714839538973E-05 -3.44324820297906E-05
31278.1954887218 -2.87847897953541E-05 3.33211570412204E-06
31774.4360902256 2.08407771928395E-05 1.75318666683091E-05
32270.6766917293 1.33464105801596E-06 -2.22020398222655E-05
32766.9172932331 -2.69010339214316E-05 1.22562628575423E-05
33263.1578947368 4.62209852723726E-05 -7.63095200170871E-06
33759.3984962406 -2.28100615825166E-05 -2.28484345586776E-05
34255.6390977444 5.62997012152113E-06 2.12293174401198E-05
34751.8796992481 1.70007970812031E-05 -9.4410496199273E-07
35248.1203007519 -5.19339856237463E-06 -6.53388188500507E-06
35744.3609022556 -1.56340888223708E-05 8.39296372713888E-06
36240.6015037594 2.02198352932621E-05 1.38239580482398E-06
36736.8421052632 -1.54630980052734E-05 -1.66406320230716E-05
37233.0827067669 -1.12392595544254E-06 2.08041182077077E-05
37729.3233082707 1.14964574412417E-05 -3.03343682501435E-06
38225.5639097744 -2.00607721901949E-05 -1.85115469186694E-05
38721.8045112782 2.91064246931284E-06 2.14246656216975E-05
39218.045112782 1.61424907121766E-05 -6.7528374200876E-06
39714.2857142857 -1.76568543826839E-05 -9.84478612069336E-06
40210.5263157895 -1.80620752561301E-06 2.07724622001427E-05
40706.7669172932 1.6213378857799E-05 -1.02869146583995E-05
41203.007518797 -2.22782174924199E-05 -1.22691380878587E-05
41699.2481203007 7.81930282083561E-06 3.27398835911825E-05
42195.4887218045 1.38332340412403E-05 -2.50286161686904E-05
42691.7293233083 -2.16045702247583E-05 5.7530803895353E-06
43187.969924812 1.45480050518505E-05 1.67197982158823E-05
43684.2105263158 -4.98039634753221E-07 -2.03150880355547E-05
44180.4511278196 5.77319471126928E-06 -7.32850182189099E-06
44676.6917293233 4.28672298253376E-06 2.94178469749118E-05
45172.9323308271 1.31831314573103E-05 -1.06261460327091E-05
45669.1729323308 -1.97303725068422E-05 -1.16175515559499E-05
46165.4135338346 3.49557984117915E-06 2.89620530856344E-05
46661.6541353383 1.36560932346909E-05 -2.6009664483252E-05
47157.8947368421 -2.26731832661508E-05 -1.19857989879463E-07
47654.1353383459 9.98227650154664E-06 2.48280864299459E-05
48150.3759398496 1.37703836589198E-05 -3.5178244357241E-05
48646.6165413534 -1.98223082392106E-05 1.98925936752969E-05
49142.8571428571 1.26681185927075E-05 7.6723395279422E-06
