w Re(f(w)) Im(f(w))
2000 2.35950422819862E-06 2.99049086637937E-06
2496.24060150376 -6.73771992337837E-06 6.95177429264127E-08
2992.48120300752 1.15543748224628E-05 9.31519195671411E-06
3488.72180451128 7.77679455160801E-07 -3.81963406183717E-06
3984.96240601504 3.7710851426533E-05 -2.91615720454728E-05
4481.2030075188 2.93012406112823E-05 5.45537895953275E-06
4977.44360902256 1.54513457471292E-05 2.19767998044378E-05
5473.68421052631 -8.00580020634533E-06 2.75577279290452E-05
5969.92481203008 -6.91747371817549E-05 -1.9991193186682E-05
6466.16541353384 2.60764457638167E-05 -4.77729835900681E-05
6962.40601503759 4.24403686860777E-05 4.56863361391261E-05
7458.64661654135 1.28264030609921E-05 1.38870390754977E-05
7954.88721804511 -2.07015157022817E-05 -4.04443405429962E-05
8451.12781954887 3.92194584977932E-05 -8.06903577665979E-05
8947.36842105263 -2.75164672067626E-05 7.61581389226445E-05
9443.60902255639 -9.29061702370453E-05 -1.95969352929247E-05
9939.84962406015 1.37264335197126E-05 1.53115319226333E-05
10436.0902255639 2.91677246078877E-05 -2.44321348204008E-05
10932.3308270677 4.47879099997948E-05 1.8437552640605E-05
11428.5714285714 5.21404953321558E-05 -6.59077524093368E-05
11924.8120300752 3.96781026175043E-05 4.2498829866262E-05
12421.0526315789 -2.94765369940802E-05 -2.92009935259739E-05
12917.2932330827 -1.25951029699409E-05 4.46354688423555E-06
13413.5338345865 7.19558778792558E-05 -1.38905899937759E-05
13909.7744360902 1.71196839353225E-05 4.79265848803798E-05
14406.015037594 6.74946420167701E-05 -1.63810536265909E-05
14902.2556390977 -3.3217431273583E-05 -2.45133747669579E-05
15398.4962406015 8.75385489391467E-05 4.28273195670723E-06
15894.7368421053 -5.31649864154783E-05 4.13960385375014E-05
16390.977443609 -3.12913689348007E-06 2.09295199981136E-05
16887.2180451128 -1.48327708674084E-05 -2.68490902547362E-05
17383.4586466165 -3.49580134874579E-05 8.68984942312927E-05
17879.6992481203 -5.67383054251644E-05 -1.86329417791844E-07
18375.9398496241 -5.23730746442571E-05 -6.66126125270338E-06
18872.1804511278 5.7544706353033E-05 1.68005348015294E-05
19368.4210526316 -6.49173401135725E-05 -4.39070134363563E-05
19864.6616541353 6.24470200121581E-05 5.53644696225591E-05
20360.9022556391 -3.67125524564343E-05 -3.25684799205444E-05
20857.1428571429 2.09181112321011E-05 6.3976521309929E-05
21353.3834586466 -5.24911472130937E-06 -4.12902556055709E-05
21849.6240601504 -2.7188218249465E-05 -3.96727046907789E-06
22345.8646616541 3.76932633257354E-05 6.02935383529692E-06
22842.1052631579 -1.11790946432052E-05 3.92142478302057E-06
23338.3458646617 -1.27238491779153E-05 3.05728758254044E-05
23834.5864661654 2.27170619178501E-05 -4.7615953324118E-05
24330.8270676692 -3.06965993079986E-05 3.20448838715931E-06
24827.0676691729 4.28616201442369E-05 1.3763930185418E-05
25323.3082706767 -1.80957402027588E-05 -2.04513631117602E-05
25819.5488721805 2.34974310937895E-07 4.76386140907355E-05
26315.7894736842 -2.93913938014339E-06 -5.00632774565382E-05
26812.030075188 -1.00917897366794E-05 3.56071601181857E-06
27308.2706766917 2.9864056560671E-05 4.70798342507397E-06
27804.5112781955 -1.71395219908983E-05 -1.89044541933003E-05
28300.7518796993 -4.91346438640672E-06 2.50024751723402E-05
28796.992481203 1.4031126236367E-05 -1.25503181170981E-05
29293.2330827068 -1.76972526175131E-05 1.5907411547738E-06
29789.4736842105 2.03744780930903E-05 1.39014004090241E-05
30285.7142857143 8.58655398816931E-06 -1.21942391118637E-05
30781.954887218 -3.09524201764855E-05 7.4056981731172E-06
31278.1954887218 3.30444479136265E-05 4.69831380569841E-06
31774.4360902256 -2.30727060341638E-05 -2.0809034477406E-05
32270.6766917293 1.21361138792985E-05 1.87726980628472E-05
32766.9172932331 -1.32542987032301E-06 -2.55817067635742E-05
33263.1578947368 -1.01621784390814E-05 -2.38292231619874E-06
33759.3984962406 7.46230753216006E-06 5.77862741290132E-07
34255.6390977444 6.19304554800421E-06 -2.12614760132346E-05
34751.8796992481 -1.39528707136226E-05 7.77150817802744E-06
35248.1203007519 1.05257788374876E-05 6.72219838989618E-06
35744.3609022556 2.92208501271078E-06 -9.23384286286455E-06
36240.6015037594 -2.31970090747924E-05 3.37043730856426E-05
36736.8421052632 1.72060720117717E-05 -5.05561831476363E-06
37233.0827067669 -2.56618420210606E-05 -7.15533778875141E-06
37729.3233082707 8.07838248068188E-06 2.47919174102949E-05
38225.5639097744 -1.30394246971119E-05 -2.58847914647044E-05
38721.8045112782 2.0075432722505E-06 1.72786737020348E-06
39218.045112782 5.05065351093933E-06 4.06592038528366E-06
39714.2857142857 1.56011229772821E-06 -2.41533323845374E-06
40210.5263157895 -6.68946134524713E-06 -7.36704797594761E-06
40706.7669172932 1.68732326109208E-05 1.81975570095526E-05
