w Re(f(w)) Im(f(w))
2000 1.46675834810139E-05 1.03577199621931E-05
2496.24060150376 5.46417395088091E-06 -3.05559357332753E-05
2992.48120300752 2.13800011540913E-05 3.25621791449907E-06
3488.72180451128 -5.71641587464774E-06 1.26866321030316E-06
3984.96240601504 -8.22007957788178E-06 1.24870831875993E-05
4481.2030075188 2.02656543530043E-05 1.24239710469151E-05
4977.44360902256 1.72897642264853E-05 1.01871249165927E-05
5473.68421052631 5.64671391587476E-06 1.18708899931957E-07
5969.92481203008 1.38682413688977E-05 8.83424112607446E-06
6466.16541353384 8.79790208010972E-06 1.57785960194098E-05
6962.40601503759 3.91232479731887E-06 -8.55495363852987E-06
7458.64661654135 -2.90472908423314E-06 -1.48650812098612E-05
7954.88721804511 -1.63928269662873E-05 -1.47949182623655E-05
8451.12781954887 3.75869656426317E-06 -2.84026524511472E-05
8947.36842105263 3.25959778707462E-05 -6.6012199777161E-06
9443.60902255639 1.8762386474653E-06 1.28823436123271E-05
9939.84962406015 -1.86384802398909E-05 8.65124170349618E-06
10436.0902255639 -1.8119723693302E-05 2.78208658951023E-05
10932.3308270677 -1.57063212115596E-05 5.58379781746239E-07
11428.5714285714 2.53133700907292E-05 -1.70328779019697E-05
11924.8120300752 1.49380292323399E-05 1.80194620018513E-06
12421.0526315789 1.2874204806707E-06 -5.43560270097764E-06
12917.2932330827 4.1454180113496E-06 -1.19850065431654E-05
13413.5338345865 3.14732179458636E-05 -3.92031549022042E-05
13909.7744360902 3.6955580375035E-05 1.06997885893786E-05
14406.015037594 -2.23568842395406E-05 1.56475042890088E-06
14902.2556390977 4.57658929604107E-06 5.57271665100555E-06
15398.4962406015 -5.48271684500815E-06 1.62091044985953E-05
15894.7368421053 3.602240388527E-06 -2.09722464206918E-06
16390.977443609 -9.74921469852768E-06 -1.05446360560517E-05
16887.2180451128 3.89517104180308E-06 -2.06989773559291E-08
17383.4586466165 -2.48002825347589E-05 1.62548524802552E-05
17879.6992481203 6.37546859170004E-06 -8.80853546029535E-06
18375.9398496241 4.74190537959664E-06 8.41457042916015E-06
18872.1804511278 6.77422523472144E-06 3.54124285963259E-06
19368.4210526316 -1.3954097529419E-05 1.28394930262874E-05
19864.6616541353 1.94460600929205E-05 -1.13670084721281E-05
20360.9022556391 -6.93421155146107E-06 2.25605434250881E-05
20857.1428571429 4.8356178925263E-06 -2.88047976116494E-05
21353.3834586466 9.69811651336118E-06 1.39817491826101E-05
21849.6240601504 -9.0978460652108E-07 -8.31796790195301E-06
22345.8646616541 4.53587340336511E-06 5.01093923030741E-06
22842.1052631579 1.84202809136152E-06 -3.38623368278725E-06
23338.3458646617 -3.52063387301605E-06 2.39749577110583E-06
23834.5864661654 -3.71488355182808E-06 -3.23680199408435E-06
24330.8270676692 -3.08833733451525E-06 -4.48645835689872E-06
24827.0676691729 1.01088548206477E-05 1.56896722940072E-06
25323.3082706767 -1.0152026168658E-05 1.5638278808559E-06
25819.5488721805 -7.26318608641233E-07 -4.94576335717106E-06
26315.7894736842 -6.88856922671757E-07 -1.187627002724E-05
26812.030075188 5.7197453937867E-06 1.76897934791237E-06
27308.2706766917 -3.1446246554163E-07 -3.95809887890883E-06
27804.5112781955 -2.51661715068759E-06 1.04402235972853E-05
28300.7518796993 -5.67024291047993E-07 -9.4451082628596E-06
28796.992481203 4.64695974601281E-07 7.92482537835529E-06
29293.2330827068 -2.72626265870262E-06 -6.22130398722851E-06
29789.4736842105 -1.48408190156199E-06 8.29760128053308E-06
30285.7142857143 9.94963662998849E-07 -3.94295352484797E-07
30781.954887218 -4.88257802625461E-06 -1.12163261497254E-06
31278.1954887218 4.39011781901736E-06 -5.43332754042374E-06
31774.4360902256 1.65340333451367E-06 9.90969403704181E-07
32270.6766917293 1.78368754584909E-06 4.28065095860415E-06
32766.9172932331 -2.68422153703692E-05 -7.45056913953383E-06
33263.1578947368 3.177879267498E-06 1.5222347125311E-05
33759.3984962406 -2.45035075872223E-06 3.54444187719659E-07
34255.6390977444 -1.02872607097621E-05 -8.90383375505336E-06
34751.8796992481 1.31924308512591E-06 9.75167341626815E-07
35248.1203007519 -1.01849009602732E-06 -4.58206410109926E-06
35744.3609022556 -4.06460140212344E-06 1.09246031784242E-06
36240.6015037594 4.70423385600914E-06 -1.08050736720669E-05
36736.8421052632 -1.00855461814697E-06 8.70771604864994E-06
37233.0827067669 8.17511619605536E-07 -3.95296990753521E-07
37729.3233082707 -6.02216041219774E-06 2.41969408302301E-06
38225.5639097744 3.85399838614942E-06 -1.00831540490151E-05
38721.8045112782 5.48949159987749E-06 3.56103416241811E-06
39218.045112782 1.75531834997728E-06 3.54889815156097E-06
39714.2857142857 -3.50653138456446E-06 -8.58613028647842E-07
40210.5263157895 5.5809810732679E-06 -2.147978951777E-06
40706.7669172932 -5.06085350056515E-06 1.33139877946165E-06
41203.007518797 4.7605527589934E-06 -2.67619497777714E-06
41699.2481203007 -4.82100391434876E-06 3.63544805385061E-06
42195.4887218045 3.66801914977981E-07 -3.1842257199989E-06
42691.7293233083 -8.23621676969153E-07 3.04010384617779E-06
43187.969924812 9.68777970136838E-07 1.47602843696688E-06
43684.2105263158 -1.46790104349268E-06 -2.4698980365144E-06
44180.4511278196 8.61928072980018E-06 -1.11237915638855E-06
44676.6917293233 1.20778724371847E-06 -2.1281190162955E-07
45172.9323308271 -1.70331225995334E-06 3.95428764914136E-06
45669.1729323308 5.95859149187228E-06 -5.85127527094988E-06
46165.4135338346 -4.51757535979402E-06 -1.39034215093614E-06
46661.6541353383 7.68026786989647E-06 2.99029037732368E-06
47157.8947368421 -7.54841943457519E-06 -4.12377723717112E-06
47654.1353383459 5.30651305264241E-06 3.1483857280902E-06
48150.3759398496 -6.97108624911683E-06 -1.73448942708032E-06
48646.6165413534 6.88003961738273E-07 -4.13235834570998E-06
49142.8571428571 1.11577219816173E-06 2.19995146951692E-06
49639.0977443609 3.41094986948802E-06 3.11940391166134E-06
50135.3383458647 5.15005098078603E-07 -1.6692157785018E-06
50631.5789473684 2.73096872925736E-06 9.79778687427938E-07
51127.8195488722 1.4202382704553E-06 -1.04247633595651E-06
51624.0601503759 -1.83358476492094E-06 2.68125349315111E-07
52120.3007518797 3.79448239459752E-06 1.64324705039138E-07
52616.5413533835 -3.93200863034149E-07 -6.83526162476879E-06
53112.7819548872 8.08663256253746E-06 2.22318040587722E-07
53609.022556391 -7.36479195979685E-07 4.82635458849728E-07
54105.2631578947 -2.5345333608674E-08 -2.20769077845846E-07
54601.5037593985 -3.64333063247522E-07 1.82156520240867E-06
55097.7443609023 1.85609649222613E-06 -1.56677295550019E-06
55593.984962406 -1.67186866594517E-06 4.50097924871381E-06
56090.2255639098 -9.23899642583872E-07 -1.61210441099297E-06
56586.4661654135 2.56686206221649E-06 1.84811258607947E-06
57082.7067669173 -2.1551851777952E-06 -2.15987961775683E-06
57578.947368421 2.53294640393485E-06 3.53036158678345E-06
58075.1879699248 -9.80719575770575E-07 -2.90922492505992E-06
58571.4285714286 -3.86327905990942E-06 1.29255501958493E-06
59067.6691729323 3.97215216444771E-06 -2.96491088107319E-06
59563.9097744361 -4.16614974577862E-06 3.50368572051107E-06
60060.1503759398 2.77622695151158E-06 -2.33478369407489E-06
60556.3909774436 -1.24478899863008E-06 4.73370240114078E-07
61052.6315789474 -2.08783651341367E-06 3.95262558343629E-08
61548.8721804511 4.51294179427286E-07 -2.4056479667562E-06
62045.1127819549 -2.1687778602478E-06 2.02557983231803E-06
62541.3533834586 2.8305099128862E-06 -3.40395619487759E-06
63037.5939849624 -1.47442490177952E-06 -5.61455899428353E-07
63533.8345864662 3.83236585899036E-06 9.12024305369193E-07
64030.0751879699 -6.10300292738654E-06 -2.35586152214034E-06
64526.3157894737 6.93443235710165E-06 4.37541676069401E-06
65022.5563909774 -5.58514472463448E-07 -6.04306216722266E-06
65518.7969924812 5.2856468221818E-07 4.77475573898349E-06
66015.0375939849 9.60856442346287E-07 1.45214569284381E-06
66511.2781954887 -5.32785791567078E-06 2.85647038446522E-05
67007.5187969925 -1.19369580647256E-07 -2.12326165910711E-06
67503.7593984962 3.07765753869441E-06 -1.00496918733123E-05
68000 -5.24910631194031E-06 6.38666343174886E-06
68496.2406015038 2.81528132291386E-06 -1.04600906165292E-05
68992.4812030075 -2.70878311041024E-06 1.50129669952873E-05
69488.7218045113 -6.34381919638013E-06 -3.26185917697374E-06
69984.962406015 -5.01434296865047E-06 1.5715280420661E-06
70481.2030075188 5.61766749414514E-06 7.7961007294826E-06
70977.4436090226 -3.40711250577053E-06 -7.3615448338734E-06
71473.6842105263 4.98591839194492E-07 2.45127173387666E-06
71969.9248120301 4.61003839451047E-06 5.24066810353795E-06
