"","Budget","Year","Type"
"251",76,2003,"Action"
"523",1.6,2004,"Action"
"648",45,2004,"Action"
"794",8,2003,"Action"
"1091",100,2002,"Action"
"1235",58,2004,"Action"
"1281",26,2003,"Action"
"1282",26,2004,"Action"
"1393",0.5,2003,"Action"
"1505",95,2004,"Action"
"1707",14,2002,"Action"
"1903",20,2005,"Action"
"2653",5,2003,"Action"
"2812",5,2002,"Action"
"3162",110,2004,"Action"
"3359",20,2005,"Action"
"3613",63,2002,"Action"
"4028",130,2003,"Action"
"4035",70,2002,"Action"
"4094",6,2002,"Action"
"4221",70,2002,"Action"
"4563",0.03,2003,"Action"
"4567",9,2003,"Action"
"4816",0.003,2002,"Action"
"5054",18,2003,"Action"
"5256",0.75,2003,"Action"
"5935",0.055,2003,"Action"
"6087",55,2002,"Action"
"6090",65,2004,"Action"
"6336",0.035,2002,"Action"
"7079",75,2002,"Action"
"7080",75,2004,"Action"
"7156",3.5,2005,"Action"
"7503",0.0025,2005,"Action"
"7842",52,2003,"Action"
"8953",5,2004,"Action"
"9035",18,2004,"Action"
"9082",85,2004,"Action"
"9168",25,2004,"Action"
"9202",0.5,2004,"Action"
"9475",120,2003,"Action"
"10014",110,2004,"Action"
"10390",2.5,2002,"Action"
"10626",85,2002,"Action"
"11057",100,2005,"Action"
"11202",74,2003,"Action"
"11229",4.7,2003,"Action"
"11328",35,2002,"Action"
"11490",25,2003,"Action"
"12047",7.5,2002,"Action"
"12072",3.5,2004,"Action"
"12443",75,2003,"Action"
"12462",15,2002,"Action"
"12545",0.0044,2004,"Action"
"12638",28,2004,"Action"
"12647",125,2004,"Action"
"12778",0.1,2004,"Action"
"12916",0.15,2003,"Action"
"13162",6,2004,"Action"
"13342",18,2002,"Action"
"13544",10,2003,"Action"
"13566",10,2002,"Action"
"13831",142,2002,"Action"
"15623",30,2002,"Action"
"15706",43,2005,"Action"
"15887",3.5,2002,"Action"
"16103",0.0035,2002,"Action"
"16182",20,2002,"Action"
"16191",1,2002,"Action"
"16573",0.015,2003,"Action"
"16679",30,2004,"Action"
"16752",40,2002,"Action"
"17437",15,2004,"Action"
"17898",0.155,2003,"Action"
"18238",45,2004,"Action"
"18597",20,2003,"Action"
"18747",0.005,2003,"Action"
"18847",3,2004,"Action"
"18932",25,2003,"Action"
"19263",0.5,2004,"Action"
"19830",50,2004,"Action"
"19900",32,2004,"Action"
"20553",56,2003,"Action"
"20754",20,2004,"Action"
"20878",0.1,2005,"Action"
"21132",0.017791,2004,"Action"
"21806",30,2002,"Action"
"22589",1,2005,"Action"
"22643",66,2004,"Action"
"22926",78,2004,"Action"
"23425",75,2003,"Action"
"24022",7,2003,"Action"
"24234",120,2003,"Action"
"24321",0.03,2003,"Action"
"24547",70,2002,"Action"
"24692",105,2004,"Action"
"25002",40,2002,"Action"
"25250",92,2004,"Action"
"25579",16,2005,"Action"
"25977",60,2003,"Action"
"26669",35,2003,"Action"
"27483",0.005,2004,"Action"
"27719",55,2003,"Action"
"27720",30,2004,"Action"
"27852",90,2004,"Action"
"27941",130,2005,"Action"
"28509",10,2002,"Action"
"28866",0.08,2005,"Action"
"28917",90,2003,"Action"
"29099",100,2003,"Action"
"29108",3.5,2003,"Action"
"29319",78,2003,"Action"
"29340",0.65,2002,"Action"
"30379",0.0024,2002,"Action"
"30627",80,2003,"Action"
"30659",94,2003,"Action"
"30660",94,2002,"Action"
"31785",0.2,2002,"Action"
"31909",36,2003,"Action"
"32064",40,2005,"Action"
"32071",70,2004,"Action"
"32120",30,2005,"Action"
"32635",150,2003,"Action"
"32708",127,2003,"Action"
"32709",110,2003,"Action"
"32887",41,2003,"Action"
"33078",140,2002,"Action"
"33084",0.03,2003,"Action"
"33696",27,2004,"Action"
"33727",102,2002,"Action"
"34472",0.008,2005,"Action"
"35450",0.065,2003,"Action"
"35743",100,2004,"Action"
"36801",4.2,2004,"Action"
"37099",0.25,2005,"Action"
"37176",0.005,2005,"Action"
"37819",29,2003,"Action"
"38453",20,2003,"Action"
"38467",20,2004,"Action"
"38668",56,2005,"Action"
"39199",0.01,2003,"Action"
"39377",60,2003,"Action"
"39729",100,2003,"Action"
"40210",125,2003,"Action"
"41002",10,2002,"Action"
"41661",0.001,2003,"Action"
"41684",33,2004,"Action"
"42106",0.083,2002,"Action"
"42154",0.06,2004,"Action"
"42773",95,2002,"Action"
"42833",3,2003,"Action"
"42972",35,2002,"Action"
"42973",50,2004,"Action"
"43287",15,2002,"Action"
"43574",0.001,2003,"Action"
"43778",70,2002,"Action"
"43849",0.006,2004,"Action"
"44192",85,2003,"Action"
"44290",0.004,2002,"Action"
"44325",80,2003,"Action"
"44444",130,2005,"Action"
"44493",0.78,2003,"Action"
"44984",0.5,2004,"Action"
"45223",60,2002,"Action"
"46201",50,2003,"Action"
"46247",75,2004,"Action"
"46603",0.2,2002,"Action"
"46646",85,2002,"Action"
"46907",8,2003,"Action"
"46980",45.5,2005,"Action"
"47242",0.4,2003,"Action"
"47285",40,2004,"Action"
"48059",74,2005,"Action"
"48517",139,2002,"Action"
"48518",200,2004,"Action"
"48652",0.25,2005,"Action"
"48692",39,2002,"Action"
"48693",39,2003,"Action"
"48851",0.245,2005,"Action"
"48903",70,2002,"Action"
"48910",120,2002,"Action"
"48972",60,2004,"Action"
"49049",20,2004,"Action"
"49066",0.02,2002,"Action"
"49820",68,2002,"Action"
"50201",2.5,2004,"Action"
"50523",12.8,2004,"Action"
"50995",30,2004,"Action"
"51002",70,2003,"Action"
"51244",175,2003,"Action"
"51387",9.2,2003,"Action"
"52045",57,2004,"Action"
"52174",2,2002,"Action"
"52225",80,2002,"Action"
"52773",40,2004,"Action"
"52849",20,2002,"Action"
"53437",185,2004,"Action"
"53635",4,2005,"Action"
"53690",60,2002,"Action"
"54267",25,2002,"Action"
"54313",20,2002,"Action"
"54492",15,2004,"Action"
"54518",3,2002,"Action"
"54791",0.1,2004,"Action"
"54891",160,2004,"Action"
"54962",0.1,2005,"Action"
"55979",56,2004,"Action"
"56275",75,2002,"Action"
"56303",0.025,2004,"Action"
"56461",0.02,2004,"Action"
"57237",115,2002,"Action"
"57664",0.012,2004,"Action"
"57771",110,2003,"Action"
"58060",30,2002,"Action"
"58105",0.1,2004,"Action"
"58738",1.3,2002,"Action"
"58787",85,2002,"Action"
"58788",87,2005,"Action"
"26532",5,2003,"Animation"
"10383",0.07,2004,"Animation"
"12609",0.05,2004,"Animation"
"13510",1.5,2003,"Animation"
"14964",0.005,2003,"Animation"
"17843",94,2003,"Animation"
