"x";"y";"z"
-0.49853;-0.039883;0.712498
-0.499882;-0.139122;0.682112
-0.501666;-0.063813;0.699221
-0.49853;-0.039883;0.712498
-0.624834;0;0.717232
-0.501255;0;0.717792
-0.624834;0;0.717232
-0.624036;0.039883;0.711938
-0.501255;0;0.717792
-0.744483;0;0.712577
-0.624834;0;0.717232
-0.624036;-0.039883;0.711938
-0.49853;-0.039883;0.712498
-0.501666;-0.063813;0.699221
-0.624036;-0.039883;0.711938
-0.534329;0;0.64603
-0.61485;-0.039883;0.651067
-0.526706;-0.039883;0.651362
-0.61485;-0.039883;0.651067
-0.616848;-0.063813;0.664299
-0.526706;-0.039883;0.651362
-0.741245;-0.039883;0.707456
-0.624036;-0.039883;0.711938
-0.622039;-0.063813;0.698704
-0.741245;0.039883;0.707456
-0.624036;0.039883;0.711938
-0.624834;0;0.717232
-0.499882;0.139122;0.682112
-0.478597;0;0.765755
-0.49853;0.039883;0.712498
-0.478597;0;0.765755
-0.501255;0;0.717792
-0.49853;0.039883;0.712498
-0.526706;-0.039883;0.651362
-0.616848;-0.063813;0.664299
-0.517593;-0.063813;0.664661
-0.616848;-0.063813;0.664299
-0.619445;-0.07179;0.681503
-0.517593;-0.063813;0.664661
-0.614053;0;0.645774
-0.61485;-0.039883;0.651067
-0.534329;0;0.64603
-0.526706;0.039883;0.651362
-0.614053;0;0.645774
-0.534329;0;0.64603
-0.712095;-0.063813;0.66137
-0.616848;-0.063813;0.664299
-0.61485;-0.039883;0.651067
-0.722621;-0.07179;0.678012
-0.619445;-0.07179;0.681503
-0.616848;-0.063813;0.664299
-0.73315;-0.063813;0.694655
-0.622039;-0.063813;0.698704
-0.619445;-0.07179;0.681503
-0.744483;0;0.712577
-0.624036;-0.039883;0.711938
-0.741245;-0.039883;0.707456
-0.837545;0;0.699948
-0.744483;0;0.712577
-0.741245;-0.039883;0.707456
-0.741245;0.039883;0.707456
-0.624834;0;0.717232
-0.744483;0;0.712577
-0.832523;0.039883;0.695296
-0.741245;0.039883;0.707456
-0.744483;0;0.712577
-0.73315;0.063813;0.694655
-0.622039;0.063813;0.698704
-0.624036;0.039883;0.711938
-0.49853;0.039883;0.712498
-0.622039;0.063813;0.698704
-0.501667;0.063813;0.699221
-0.722621;0.07179;0.678012
-0.619445;0.07179;0.681503
-0.622039;0.063813;0.698704
-0.722621;-0.07179;0.678012
-0.616848;-0.063813;0.664299
-0.712095;-0.063813;0.66137
-0.803644;-0.07179;0.668539
-0.722621;-0.07179;0.678012
-0.712095;-0.063813;0.66137
