family_id,assigned_day
0,76
1,6
2,27
3,1
4,47
5,12
6,39
7,11
8,53
9,47
10,57
11,44
12,65
13,12
14,45
15,5
16,21
17,47
18,87
19,5
20,73
21,81
22,61
23,11
24,24
25,53
26,25
27,4
28,27
29,67
30,47
31,24
32,53
33,96
34,59
35,65
36,47
37,51
38,47
39,96
40,73
41,32
42,81
43,55
44,49
45,55
46,15
47,27
48,21
49,55
50,87
51,28
52,47
53,5
54,49
55,2
56,49
57,32
58,84
59,27
60,9
61,96
62,24
63,63
64,47
65,57
66,47
67,21
68,85
69,73
70,100
71,27
72,96
73,23
74,28
75,42
76,47
77,72
78,47
79,42
80,61
81,87
82,47
83,53
84,73
85,70
86,53
87,36
88,83
89,28
90,96
91,8
92,85
93,69
94,96
95,49
96,13
97,36
98,28
99,23
100,49
101,49
102,13
103,73
104,17
105,21
106,30
107,41
108,51
109,17
110,70
111,44
112,13
113,53
114,70
115,9
116,72
117,5
118,44
119,53
120,28
121,55
122,47
123,32
124,87
125,83
126,40
127,36
128,72
129,64
130,49
131,21
132,36
133,32
134,49
135,87
136,52
137,96
138,28
139,81
140,21
141,61
142,85
143,28
144,61
145,48
146,36
147,27
148,63
149,81
150,72
151,88
152,96
153,73
154,91
155,36
156,44
157,30
158,13
159,55
160,28
161,5
162,97
163,84
164,21
165,97
166,84
167,73
168,84
169,84
170,76
171,49
172,21
173,47
174,51
175,81
176,36
177,13
178,53
179,34
180,51
181,28
182,8
183,2
184,8
185,64
186,60
187,47
188,91
189,51
190,81
191,83
192,20
193,20
194,90
195,56
196,23
197,72
198,81
199,51
200,47
201,21
202,23
203,24
204,56
205,99
206,28
207,27
208,12
209,4
210,72
211,32
212,96
213,17
214,32
215,99
216,5
217,12
218,2
219,97
220,88
221,10
222,36
223,28
224,3
225,61
226,96
227,16
228,27
229,20
230,57
231,71
232,51
233,44
234,53
235,67
236,61
237,30
238,36
239,36
240,57
241,88
242,15
243,89
244,76
245,76
246,30
247,30
248,44
249,57
250,81
251,44
252,34
253,84
254,28
255,12
256,96
257,15
258,5
259,67
260,20
261,83
262,56
263,48
264,16
265,72
266,24
267,28
268,28
269,16
270,51
271,55
272,72
273,96
274,56
275,62
276,10
277,4
278,6
279,73
280,51
281,51
282,24
283,56
284,76
285,84
286,28
287,8
288,25
289,30
290,56
291,93
292,36
293,50
294,17
295,13
296,23
297,63
298,50
299,2
300,72
301,70
302,72
303,34
304,40
305,76
306,36
307,4
308,47
309,96
310,91
311,36
312,36
313,16
314,57
315,36
316,96
317,49
318,73
319,15
320,20
321,8
322,57
323,15
324,67
325,35
326,29
327,96
328,10
329,4
330,93
331,67
332,42
333,3
334,67
335,30
336,50
337,90
338,3
339,29
340,36
341,12
342,44
343,27
344,23
345,96
346,30
347,45
348,5
349,36
350,96
351,64
352,67
353,4
354,3
355,15
356,51
357,4
358,93
359,21
360,55
361,12
362,23
363,16
364,12
365,73
366,93
367,27
368,70
369,41
370,96
371,20
372,73
373,2
374,23
375,6
376,36
377,5
378,50
379,16
380,99
381,29
382,17
383,28
384,3
385,62
386,16
387,4
388,30
389,73
390,60
391,40
392,84
393,5
394,4
395,15
396,2
397,72
398,56
399,89
400,3
401,100
402,63
403,17
404,57
405,78
406,5
407,6
408,5
409,3
410,27
411,83
412,89
413,62
414,42
415,13
416,80
417,17
418,42
419,42
420,49
421,24
422,83
423,29
424,4
425,73
426,62
427,42
428,85
429,28
430,5
431,37
432,38
433,83
434,18
435,16
436,13
437,64
438,46
439,92
440,47
441,61
442,29
443,28
444,60
445,56
446,29
447,4
448,80
